# Time, Spearman
0.000000000000000000e+00 nan
7.366666666666666252e+00 nan
1.484999999999999964e+01 -9.999999999999998890e-01
2.223333333333333428e+01 -1.000000000000000000e+00
2.960000000000000142e+01 -1.000000000000000000e+00
3.696666666666666856e+01 -9.999999999999998890e-01
4.433333333333333570e+01 -1.000000000000000000e+00
5.170000000000000284e+01 -1.000000000000000000e+00
5.908333333333333570e+01 -1.000000000000000000e+00
6.643333333333333712e+01 -1.000000000000000000e+00
7.945000000000000284e+01 -9.999999999999998890e-01
8.681666666666666288e+01 -1.000000000000000000e+00
9.418333333333333712e+01 -1.000000000000000000e+00
1.015499999999999972e+02 -9.945054945054945250e-01
1.089166666666666714e+02 -9.956043956043955090e-01
1.162999999999999972e+02 -9.964285714285712192e-01
1.236666666666666714e+02 -9.970588235294117752e-01
1.310333333333333314e+02 -9.975490196078432570e-01
1.384000000000000057e+02 -9.979360165118679182e-01
1.457833333333333314e+02 -9.964912280701754277e-01
1.587166666666666686e+02 -9.969924812030074301e-01
1.660833333333333428e+02 -9.974025974025975128e-01
1.734499999999999886e+02 -9.977413890457370593e-01
1.808166666666666629e+02 -9.950592885375494356e-01
1.881833333333333371e+02 -9.956521739130433923e-01
1.955500000000000114e+02 -9.884615384615385025e-01
2.029166666666666572e+02 -9.822222222222221077e-01
2.102833333333333314e+02 -9.755799755799755557e-01
2.176500000000000057e+02 -9.781061850027366056e-01
2.250166666666666799e+02 -9.802955665024627452e-01
2.383166666666666629e+02 -9.822024471635149023e-01
2.456833333333333371e+02 -9.838709677419356092e-01
2.530500000000000114e+02 -9.849706744868034214e-01
2.604166666666666856e+02 -9.852941176470588758e-01
2.678000000000000114e+02 -9.847211611917493501e-01
2.751833333333333371e+02 -9.834733893557423556e-01
2.826499999999999773e+02 -9.824967824967825170e-01
2.900166666666666515e+02 -9.838786154575628329e-01
2.973833333333333258e+02 -9.833679833679833671e-01
3.047500000000000000e+02 -9.842105263157895356e-01
3.178166666666666629e+02 -9.825515947467167166e-01
3.251833333333333371e+02 -9.837979094076656494e-01
3.325500000000000114e+02 -9.847662263998055998e-01
3.399166666666666856e+02 -9.853518574448807410e-01
3.473666666666666742e+02 -9.854827343199435985e-01
3.547500000000000000e+02 -9.851119894598153737e-01
3.621166666666666742e+02 -9.845821769966079939e-01
3.694833333333333485e+02 -9.842738205365403337e-01
3.768500000000000227e+02 -9.825227963525835495e-01
3.842166666666666401e+02 -9.803061224489794112e-01
3.972833333333333599e+02 -9.798319327731092043e-01
4.046666666666666856e+02 -9.809954751131222395e-01
4.120333333333333599e+02 -9.819858277127977431e-01
4.193999999999999773e+02 -9.827447185937751017e-01
4.284166666666666856e+02 -9.832285115303981415e-01
4.357833333333333599e+02 -9.823953823953824882e-01
4.431666666666666856e+02 -9.812713602187287387e-01
4.505333333333333599e+02 -9.800362976406534754e-01
4.578999999999999773e+02 -9.782829370328218754e-01
4.652833333333333599e+02 -9.762711864406781181e-01
4.783833333333333258e+02 -9.738816337871633033e-01
4.857666666666666515e+02 -9.751454257006871851e-01
4.931333333333333258e+02 -9.757246103094862066e-01
5.005166666666666515e+02 -9.761424731182797299e-01
5.081333333333333258e+02 -9.748626373626372299e-01
5.155333333333333030e+02 -9.733828671328671467e-01
5.228999999999999773e+02 -9.702745016177852788e-01
5.302833333333333030e+02 -9.684731423098411618e-01
5.376666666666666288e+02 -9.644615795701797500e-01
5.450666666666667197e+02 -9.590427475337961472e-01
5.581666666666666288e+02 -9.539147931064648755e-01
5.655666666666667197e+02 -9.548289738430582041e-01
5.729500000000000455e+02 -9.543700559521514082e-01
5.803333333333333712e+02 -9.538134024435396263e-01
5.877166666666666970e+02 -9.470714550166602352e-01
5.951000000000000227e+02 -9.429302987197722974e-01
6.024833333333333485e+02 -9.387559808612440104e-01
6.098833333333333258e+02 -9.315947210684051294e-01
6.172666666666666515e+02 -9.220779220779220520e-01
6.246499999999999773e+02 -9.146786757546251367e-01
