# Time, Spearman
0.000000000000000000e+00 nan
1.133333333333333393e+01 nan
2.266666666666666785e+01 -9.999999999999998890e-01
3.396666666666666856e+01 -1.000000000000000000e+00
4.529999999999999716e+01 -1.000000000000000000e+00
5.661666666666666714e+01 -9.999999999999998890e-01
6.793333333333333712e+01 -1.000000000000000000e+00
7.925000000000000000e+01 -1.000000000000000000e+00
9.056666666666666288e+01 -1.000000000000000000e+00
1.019166666666666714e+02 -1.000000000000000000e+00
1.182000000000000028e+02 -9.999999999999998890e-01
1.295166666666666799e+02 -1.000000000000000000e+00
1.408166666666666629e+02 -1.000000000000000000e+00
1.521500000000000057e+02 -1.000000000000000000e+00
1.634666666666666686e+02 -1.000000000000000000e+00
1.748000000000000114e+02 -1.000000000000000000e+00
1.861166666666666742e+02 -1.000000000000000000e+00
1.974499999999999886e+02 -1.000000000000000000e+00
2.087833333333333314e+02 -1.000000000000000000e+00
2.201166666666666742e+02 -1.000000000000000000e+00
2.365000000000000000e+02 -1.000000000000000000e+00
2.478333333333333428e+02 -9.987012987012987564e-01
2.591666666666666856e+02 -9.988706945228684742e-01
2.705000000000000000e+02 -9.990118577075098871e-01
2.818166666666666629e+02 -9.991304347826085452e-01
2.931499999999999773e+02 -9.984615384615384004e-01
3.044666666666666401e+02 -9.986324786324786151e-01
3.158166666666666629e+02 -9.987789987789987833e-01
3.271499999999999773e+02 -9.983579638752053675e-01
3.384833333333333485e+02 -9.985221674876845199e-01
3.548666666666666742e+02 -9.986651835372636343e-01
3.661833333333333371e+02 -9.987903225806451513e-01
3.775000000000000000e+02 -9.989002932551318548e-01
3.888333333333333144e+02 -9.989973262032086909e-01
4.001666666666666856e+02 -9.990832696715049588e-01
4.114833333333333485e+02 -9.991596638655462215e-01
4.228166666666666629e+02 -9.984555984555985031e-01
4.341333333333333258e+02 -9.973921289710760973e-01
4.454499999999999886e+02 -9.975927344348396453e-01
4.567833333333333599e+02 -9.975708502024290825e-01
4.731833333333333371e+02 -9.977485928705442930e-01
4.845000000000000000e+02 -9.977351916376309138e-01
4.958999999999999773e+02 -9.978932015233774599e-01
5.072333333333333485e+02 -9.980368468740562493e-01
5.185666666666667197e+02 -9.980267794221282518e-01
5.299166666666666288e+02 -9.978919631093544629e-01
5.412333333333333485e+02 -9.980265186555659085e-01
5.525499999999999545e+02 -9.980342275670675001e-01
5.638833333333333258e+02 -9.972861485019539618e-01
5.752000000000000455e+02 -9.971428571428569976e-01
5.916000000000000227e+02 -9.969267707082832830e-01
6.029500000000000455e+02 -9.971040723981899889e-01
6.143833333333333258e+02 -9.972679928284811091e-01
6.257333333333333485e+02 -9.974197710046766030e-01
6.370499999999999545e+02 -9.974842767295596380e-01
6.483833333333333258e+02 -9.974025974025976238e-01
6.597166666666666970e+02 -9.973342447026657398e-01
6.710499999999999545e+02 -9.969535908737362506e-01
6.823833333333333258e+02 -9.968008859085176754e-01
6.937333333333333485e+02 -9.965517241379312496e-01
7.101000000000000227e+02 -9.963323145318145890e-01
7.214500000000000455e+02 -9.965097831835006970e-01
7.327999999999999545e+02 -9.958701619198710997e-01
7.441333333333333258e+02 -9.960637480798771870e-01
7.554833333333333485e+02 -9.962454212454210367e-01
7.668166666666667197e+02 -9.964160839160838279e-01
7.781499999999999773e+02 -9.965765577705877343e-01
7.895000000000000000e+02 -9.966078697421982824e-01
8.008333333333333712e+02 -9.967553536664502944e-01
8.121666666666666288e+02 -9.968944099378883594e-01
8.285666666666667197e+02 -9.969906394891085988e-01
8.398999999999999773e+02 -9.970154258886652077e-01
8.513666666666666742e+02 -9.971380796192681473e-01
8.627166666666666970e+02 -9.972232506479082881e-01
8.740666666666667197e+02 -9.973343206219916768e-01
8.853999999999999773e+02 -9.973257467994309788e-01
8.967166666666666970e+02 -9.972385509227614797e-01
9.081333333333333258e+02 -9.969504180030495100e-01
9.194666666666666970e+02 -9.970662249143261713e-01
9.308166666666667197e+02 -9.971762414800389163e-01
9.472166666666666970e+02 -9.972573839662447481e-01
9.585499999999999545e+02 -9.972899728997288715e-01
9.698666666666666742e+02 -9.973226238286480028e-01
9.812166666666666970e+02 -9.974182444061959751e-01
9.925666666666667197e+02 -9.975093651918598425e-01
1.003933333333333280e+03 -9.975376196990423106e-01
1.015266666666666652e+03 -9.975847917354592198e-01
1.026616666666666561e+03 -9.976671283808411506e-01
1.037966666666666697e+03 -9.977281532880138970e-01
1.049299999999999955e+03 -9.976676881171265832e-01
1.065700000000000045e+03 -9.976951887064244850e-01
1.077033333333333303e+03 -9.976429367733715692e-01
1.088650000000000091e+03 -9.976110845676061656e-01
1.100000000000000000e+03 -9.975530422846227152e-01
1.111349999999999909e+03 -9.976303146335296912e-01
1.122700000000000045e+03 -9.975083986562148786e-01
1.134033333333333303e+03 -9.975854584915898604e-01
1.145366666666666561e+03 -9.976462234378286054e-01
1.156716666666666697e+03 -9.976282921791022051e-01
1.168066666666666606e+03 -9.975633889919602870e-01
1.184450000000000045e+03 -9.976357635763576370e-01
1.195799999999999955e+03 -9.977052999417587165e-01
1.207150000000000091e+03 -9.977721358657852813e-01
1.218483333333333348e+03 -9.978254184422089557e-01
1.229849999999999909e+03 -9.978235356876135054e-01
1.241183333333333394e+03 -9.975533900062202308e-01
1.252549999999999955e+03 -9.975010706098698110e-01
1.263900000000000091e+03 -9.975704853151512452e-01
1.275250000000000000e+03 -9.971038516867204438e-01
1.286583333333333258e+03 -9.971643035863219096e-01
1.303000000000000000e+03 -9.972048779388228423e-01
1.314349999999999909e+03 -9.971393471393471541e-01
1.325683333333333394e+03 -9.971469573239485351e-01
1.337049999999999955e+03 -9.971388648612683481e-01
1.348400000000000091e+03 -9.970919989469635425e-01
1.359733333333333348e+03 -9.970567347904996103e-01
1.371099999999999909e+03 -9.970091877138353986e-01
1.382466666666666697e+03 -9.970852253143310806e-01
1.393799999999999955e+03 -9.970053210332374682e-01
1.405150000000000091e+03 -9.968523002421307844e-01
