# Time, Spearman
0.000000000000000000e+00 nan
1.384999999999999964e+01 nan
2.771666666666666501e+01 -9.999999999999998890e-01
4.158333333333333570e+01 -5.000000000000000000e-01
5.545000000000000284e+01 -7.999999999999999334e-01
6.928333333333333144e+01 -7.999999999999999334e-01
8.315000000000000568e+01 -7.714285714285714635e-01
9.700000000000000000e+01 -7.500000000000002220e-01
1.108666666666666600e+02 -7.380952380952381375e-01
1.290833333333333428e+02 -6.833333333333333481e-01
1.429333333333333371e+02 -6.969696969696969058e-01
1.568000000000000114e+02 -7.727272727272727071e-01
1.706500000000000057e+02 -8.181818181818183433e-01
1.845000000000000000e+02 -7.142857142857143016e-01
1.983666666666666742e+02 -7.494505494505494525e-01
2.122333333333333201e+02 -7.285714285714285365e-01
2.260999999999999943e+02 -6.294117647058822262e-01
2.399666666666666686e+02 -6.911764705882352811e-01
2.538333333333333428e+02 -7.234262125902992668e-01
2.738833333333333258e+02 -6.350877192982455899e-01
2.878166666666666629e+02 -6.451127819548871933e-01
3.017500000000000000e+02 -6.051948051948051743e-01
3.156833333333333371e+02 -6.566911349520045960e-01
3.296000000000000227e+02 -6.996047430830039104e-01
3.435333333333333599e+02 -6.504347826086956941e-01
3.574666666666666401e+02 -5.900000000000000799e-01
3.713999999999999773e+02 -6.246153846153844613e-01
3.853666666666666742e+02 -5.671550671550671385e-01
3.992833333333333599e+02 -5.987958401751505289e-01
4.173333333333333144e+02 -5.778325123152707743e-01
4.312500000000000000e+02 -6.155728587319243550e-01
4.451999999999999886e+02 -6.443548387096774688e-01
4.591499999999999773e+02 -6.466275659824045619e-01
4.730833333333333144e+02 -6.183155080213903476e-01
4.871000000000000227e+02 -6.204736440030557132e-01
5.011333333333333258e+02 -6.039215686274510553e-01
5.150666666666667197e+02 -5.508365508365509200e-01
5.291666666666666288e+02 -5.777619724988145578e-01
5.431166666666666742e+02 -5.999562315351788522e-01
5.612333333333333485e+02 -5.732793522267207731e-01
5.751499999999999773e+02 -6.013133208255161399e-01
5.891333333333333258e+02 -6.297909407665506221e-01
6.030499999999999545e+02 -6.228830726845475674e-01
6.170000000000000000e+02 -6.428571428571427937e-01
6.310499999999999545e+02 -6.538407329105002663e-01
6.450000000000000000e+02 -6.632411067193675347e-01
6.589166666666666288e+02 -6.064138143694109973e-01
6.728833333333333258e+02 -5.996762257169288013e-01
6.868333333333333712e+02 -6.234259661311333245e-01
7.049166666666666288e+02 -6.194897959183672809e-01
7.188333333333333712e+02 -6.042256902761103943e-01
7.327833333333333030e+02 -5.974660633484162320e-01
7.468333333333333712e+02 -5.870400409801075359e-01
7.608166666666667197e+02 -5.767618126108692289e-01
7.747666666666666515e+02 -5.735467886411281802e-01
7.887166666666666970e+02 -5.925685425685426333e-01
8.026833333333332803e+02 -5.695830485304169688e-01
8.166333333333333258e+02 -5.547057298418459625e-01
8.305833333333333712e+02 -5.403734350487557903e-01
8.486666666666666288e+02 -5.582115721800118280e-01
8.626000000000000227e+02 -5.547652125590443184e-01
