# Time, Spearman
0.000000000000000000e+00 nan
5.500000000000000000e+00 nan
1.096666666666666679e+01 -9.999999999999998890e-01
1.641666666666666785e+01 -1.000000000000000000e+00
2.188333333333333286e+01 -1.000000000000000000e+00
2.736666666666666714e+01 -9.999999999999998890e-01
3.289999999999999858e+01 -1.000000000000000000e+00
3.836666666666666714e+01 -1.000000000000000000e+00
4.385000000000000142e+01 -1.000000000000000000e+00
4.931666666666666998e+01 -1.000000000000000000e+00
6.041666666666666430e+01 -9.999999999999998890e-01
6.590000000000000568e+01 -1.000000000000000000e+00
7.138333333333333997e+01 -1.000000000000000000e+00
7.688333333333333997e+01 -1.000000000000000000e+00
8.236666666666666003e+01 -1.000000000000000000e+00
8.784999999999999432e+01 -1.000000000000000000e+00
9.333333333333332860e+01 -1.000000000000000000e+00
9.881666666666666288e+01 -1.000000000000000000e+00
1.042833333333333314e+02 -1.000000000000000000e+00
1.097666666666666657e+02 -1.000000000000000000e+00
1.206666666666666714e+02 -9.984962406015037706e-01
1.261666666666666714e+02 -9.961038961038960471e-01
1.316500000000000057e+02 -9.966120835686054225e-01
1.371333333333333258e+02 -9.970355731225297724e-01
1.425999999999999943e+02 -9.973913043478259688e-01
1.480666666666666629e+02 -9.976923076923076561e-01
1.536833333333333371e+02 -9.938461538461537126e-01
1.591666666666666572e+02 -9.945054945054945250e-01
1.646500000000000057e+02 -9.928845101258894079e-01
1.701166666666666742e+02 -9.935960591133001785e-01
1.810166666666666799e+02 -9.942157953281423044e-01
1.864833333333333201e+02 -9.947580645161290258e-01
1.919499999999999886e+02 -9.912023460410555042e-01
1.974166666666666572e+02 -9.913101604278075074e-01
2.029000000000000057e+02 -9.880825057295645752e-01
2.083833333333333258e+02 -9.890756302521007681e-01
2.139000000000000057e+02 -9.897039897039897616e-01
2.193666666666666742e+02 -9.905168326220955555e-01
2.248499999999999943e+02 -9.910274647116752433e-01
2.303499999999999943e+02 -9.917004048582994669e-01
2.412666666666666799e+02 -9.923076923076924460e-01
2.467333333333333201e+02 -9.928571428571429935e-01
2.522333333333333201e+02 -9.933554817275748183e-01
2.577166666666666401e+02 -9.922983992751434057e-01
2.632166666666666401e+02 -9.928118393234670602e-01
2.687166666666666401e+02 -9.922266139657442974e-01
2.741833333333333371e+02 -9.927227875423989545e-01
2.796666666666666856e+02 -9.927150786308972519e-01
2.851499999999999773e+02 -9.929439861050803895e-01
2.906166666666666742e+02 -9.933673469387754862e-01
3.017166666666666401e+02 -9.925090036014405648e-01
3.071999999999999886e+02 -9.909502262443438125e-01
3.126666666666666856e+02 -9.912063519166737224e-01
