# Time, Spearman
0.000000000000000000e+00 nan
1.651666666666666572e+01 nan
3.303333333333333144e+01 -9.999999999999998890e-01
4.953333333333333144e+01 -1.000000000000000000e+00
6.603333333333333144e+01 -1.000000000000000000e+00
8.251666666666666572e+01 -9.999999999999998890e-01
9.904999999999999716e+01 -1.000000000000000000e+00
1.155999999999999943e+02 -1.000000000000000000e+00
1.370666666666666629e+02 -1.000000000000000000e+00
1.535666666666666629e+02 -1.000000000000000000e+00
1.700500000000000114e+02 -9.999999999999998890e-01
1.865666666666666629e+02 -1.000000000000000000e+00
2.030500000000000114e+02 -9.930069930069931328e-01
2.196166666666666742e+02 -9.945054945054945250e-01
2.361166666666666742e+02 -9.780219780219781001e-01
2.525999999999999943e+02 -9.749999999999998668e-01
2.691000000000000227e+02 -9.794117647058824261e-01
2.856000000000000227e+02 -9.803921568627452787e-01
3.069166666666666856e+02 -9.463364293085655410e-01
3.234166666666666856e+02 -9.543859649122806710e-01
3.399333333333333371e+02 -9.383458646616539278e-01
3.564333333333333371e+02 -9.324675324675323340e-01
3.729499999999999886e+02 -9.311123658949747028e-01
3.894499999999999886e+02 -9.100790513833992845e-01
4.059666666666666401e+02 -8.773913043478259732e-01
4.224666666666666401e+02 -8.453846153846154010e-01
4.389666666666666401e+02 -8.147008547008547374e-01
4.554833333333333485e+02 -7.741147741147741401e-01
4.768166666666666629e+02 -7.728516694033934487e-01
4.933166666666666629e+02 -7.955665024630540483e-01
5.098333333333333144e+02 -8.002224694104560498e-01
5.263333333333333712e+02 -8.133064516129033805e-01
5.428333333333333712e+02 -8.042521994134895769e-01
5.593333333333333712e+02 -7.439839572192513684e-01
5.758500000000000227e+02 -6.886172650878533696e-01
5.923500000000000227e+02 -6.602240896358544386e-01
6.088666666666666742e+02 -6.102960102960104383e-01
6.253666666666666742e+02 -5.637743006164058768e-01
6.467000000000000455e+02 -5.443702812123865087e-01
6.632166666666666970e+02 -5.022267206477732948e-01
6.797166666666666970e+02 -4.831144465290806989e-01
6.962333333333333485e+02 -4.440766550522649014e-01
7.127500000000000000e+02 -4.170650676606433849e-01
7.292333333333333485e+02 -3.835699184536394135e-01
7.457666666666666515e+02 -3.523608174770965218e-01
7.622833333333333030e+02 -3.205533596837944477e-01
7.787833333333333030e+02 -3.234659266111624687e-01
7.952999999999999545e+02 -3.110545790934320376e-01
8.166499999999999773e+02 -2.938558402084238130e-01
8.331666666666666288e+02 -3.019387755102040383e-01
8.497000000000000455e+02 -2.779831932773109138e-01
8.662000000000000455e+02 -2.489592760180995290e-01
8.827166666666666970e+02 -2.213779561171347887e-01
8.992333333333333485e+02 -2.041606192549588472e-01
9.157500000000000000e+02 -1.881074899942824230e-01
9.322500000000000000e+02 -1.713564213564214012e-01
9.487666666666666515e+02 -1.551606288448393878e-01
9.652666666666666515e+02 -1.331993777547316737e-01
9.866166666666666742e+02 -1.190131963456273756e-01
1.003133333333333326e+03 -1.526592635885447580e-01
1.019649999999999977e+03 -1.307029730480689378e-01
1.036166666666666742e+03 -1.466419883659439427e-01
1.052666666666666742e+03 -1.485482611870766190e-01
1.069166666666666742e+03 -1.626344086021505320e-01
1.085683333333333394e+03 -1.806318681318681008e-01
1.102200000000000045e+03 -1.851398601398601407e-01
1.118700000000000045e+03 -1.948230873604008262e-01
1.135216666666666697e+03 -2.030888339053396330e-01
1.156549999999999955e+03 -2.050234759705309717e-01
1.173049999999999955e+03 -2.358056265984654898e-01
1.189549999999999955e+03 -2.345376607470912589e-01
1.206049999999999955e+03 -2.484238765928906689e-01
1.222599999999999909e+03 -2.649366518747187094e-01
1.239116666666666561e+03 -2.852030112304085319e-01
1.255633333333333439e+03 -3.076934468715289972e-01
1.272183333333333394e+03 -3.290184921763869008e-01
1.288783333333333303e+03 -3.458920027341079728e-01
1.305299999999999955e+03 -3.544876176455123429e-01
1.326666666666666742e+03 -3.731079047534743287e-01
1.343216666666666697e+03 -3.939386562804285119e-01
1.359816666666666606e+03 -3.968823253633380066e-01
1.376349999999999909e+03 -4.070234869015356693e-01
1.392883333333333439e+03 -4.155048377793015280e-01
1.409466666666666697e+03 -4.234918769153268037e-01
1.426000000000000000e+03 -4.380479902804495507e-01
1.442533333333333303e+03 -4.524330662497557110e-01
