# Time, Spearman
0.000000000000000000e+00 nan
1.963333333333333286e+01 nan
3.668333333333333002e+01 -9.999999999999998890e-01
5.228333333333333144e+01 -1.000000000000000000e+00
6.788333333333333997e+01 -1.000000000000000000e+00
8.351666666666666572e+01 -9.999999999999998890e-01
9.911666666666666003e+01 -1.000000000000000000e+00
1.147166666666666686e+02 -1.000000000000000000e+00
1.303166666666666629e+02 -1.000000000000000000e+00
1.459333333333333371e+02 -1.000000000000000000e+00
1.615500000000000114e+02 -9.999999999999998890e-01
1.771833333333333371e+02 -1.000000000000000000e+00
1.990000000000000000e+02 -1.000000000000000000e+00
2.145833333333333428e+02 -1.000000000000000000e+00
2.301833333333333371e+02 -1.000000000000000000e+00
2.457833333333333314e+02 -1.000000000000000000e+00
2.637833333333333599e+02 -9.970588235294117752e-01
2.793833333333333258e+02 -9.901960784313726949e-01
2.950000000000000000e+02 -9.855521155830752056e-01
3.106333333333333258e+02 -9.877192982456139969e-01
3.262500000000000000e+02 -9.894736842105261720e-01
3.419499999999999886e+02 -9.909090909090908506e-01
3.637333333333333485e+02 -9.920948616600790970e-01
3.793500000000000227e+02 -9.920948616600790970e-01
3.950166666666666515e+02 -9.913043478260867847e-01
4.106166666666666742e+02 -9.923076923076923350e-01
4.262500000000000000e+02 -9.924786324786324387e-01
4.418500000000000227e+02 -9.920634920634919807e-01
4.574499999999999886e+02 -9.906951286261630463e-01
4.730666666666666629e+02 -9.896551724137929718e-01
4.886833333333333371e+02 -9.884315906562846088e-01
5.043166666666666629e+02 -9.866935483870968859e-01
5.261499999999999773e+02 -9.831378299120232533e-01
5.417500000000000000e+02 -9.846256684491978550e-01
5.573666666666666742e+02 -9.856378915202443913e-01
5.730000000000000000e+02 -9.859943977591036912e-01
5.886333333333333258e+02 -9.871299871299872297e-01
6.042333333333333485e+02 -9.879089615931719859e-01
6.198666666666666742e+02 -9.862129335813546449e-01
6.355166666666666515e+02 -9.840080971659920239e-01
6.511333333333333258e+02 -9.838649155722326567e-01
6.667333333333333485e+02 -9.841463414634147311e-01
6.885833333333333712e+02 -9.842800421359695351e-01
7.042166666666666970e+02 -9.853518574448807410e-01
7.198666666666666742e+02 -9.862926818202598644e-01
7.355000000000000000e+02 -9.867913968263789526e-01
7.511333333333333258e+02 -9.856609829226067321e-01
7.667500000000000000e+02 -9.855164642318891000e-01
7.823833333333333258e+02 -9.859950117818575555e-01
7.980333333333333030e+02 -9.863741071306784125e-01
8.136666666666666288e+02 -9.866443607990501574e-01
8.292666666666666515e+02 -9.867998117374365830e-01
8.510833333333333712e+02 -9.868371883515911769e-01
8.667333333333333485e+02 -9.867553165073672528e-01
8.823833333333333258e+02 -9.865546454016624889e-01
8.979833333333333485e+02 -9.862368680193532855e-01
9.136333333333333258e+02 -9.858046175535759570e-01
9.294500000000000455e+02 -9.852612248821126517e-01
9.451000000000000227e+02 -9.846105251556998006e-01
