parameter,value
acquisition time,2025-05-08T15:37:10.077983
integration time,15
number of averages,100

wavelength,transmittance
265.86859130859375,714.3075
266.16424560546875,738.25
266.45989990234375,758.05
266.7555236816406,773.8975
267.0511474609375,796.315
267.34674072265625,815.4075
267.642333984375,828.8475
267.9378967285156,841.3225
268.2333984375,849.1475
268.5289611816406,863.53
268.824462890625,874.445
269.11993408203125,888.7875
269.4154357910156,885.3525
269.71087646484375,888.5525
270.00628662109375,912.9775
270.30169677734375,906.1775
270.5970764160156,904.44
270.8924865722656,909.565
271.1878356933594,912.1175
271.483154296875,920.405
271.7785339355469,911.5475
272.07379150390625,917.645
272.36907958984375,921.385
272.6643371582031,915.4125
272.9595947265625,908.315
273.2547912597656,917.905
273.550048828125,915.05
273.84521484375,923.8375
274.140380859375,921.18
274.435546875,930.8075
274.7306823730469,928.54
275.02581787109375,931.6075
275.3208923339844,929.8975
275.615966796875,940.94
275.9110412597656,953.3475
276.2060852050781,962.0475
276.5010986328125,970.89
276.796142578125,978.835
277.09112548828125,989.7225
277.38604736328125,1002.7875
277.6809997558594,1005.605
277.9759521484375,1033.45
278.2708740234375,1037.0525
278.5657653808594,1046.0275
278.8606262207031,1054.32
279.155517578125,1072.4
279.4503479003906,1088.35
279.7451477050781,1101.245
280.0399475097656,1113.7475
280.3347473144531,1129.8875
280.6295166015625,1144.155
280.9242858886719,1161.1925
281.218994140625,1177.0225
281.5137023925781,1189.6525
281.808349609375,1206.87
282.10302734375,1220.17
282.397705078125,1228.8
282.69232177734375,1246.66
282.9869079589844,1259.215
283.28155517578125,1267.0975
283.57611083984375,1282.15
283.87066650390625,1295.5475
284.16522216796875,1295.625
284.4597473144531,1313.0975
284.7542419433594,1326.585
285.0487060546875,1330.2625
285.3431396484375,1341.835
285.6376037597656,1350.3175
285.9320373535156,1361.4825
286.2264404296875,1359.035
286.5208435058594,1385.1025
286.8152160644531,1385.8075
287.10955810546875,1388.635
287.4039306640625,1398.215
287.6982116699219,1401.805
287.9925231933594,1411.0725
288.28680419921875,1414.5675
288.5810546875,1417.3625
288.8752746582031,1435.7775
289.1695251464844,1445.28
289.46368408203125,1450.11
289.7579040527344,1447.6625
290.0520324707031,1461.535
290.34619140625,1459.2675
290.64031982421875,1462.2275
290.9344177246094,1460.9925
291.228515625,1475.1225
291.5226135253906,1476.2425
291.816650390625,1478.9825
292.1106872558594,1491.6075
292.4046936035156,1484.37
292.6986999511719,1492.755
292.9926452636719,1490.9
293.28662109375,1492.985
293.5805358886719,1488.995
293.87445068359375,1492.7075
294.1683654785156,1486.4875
294.4622497558594,1489.3775
294.7561340332031,1489.0525
295.0499572753906,1476.1925
295.3437805175781,1472.64
295.6376037597656,1480.4425
295.931396484375,1471.6825
296.22515869140625,1459.11
296.51885986328125,1461.555
296.8125915527344,1468.1425
297.1063232421875,1446.065
297.3999938964844,1442.8875
297.69366455078125,1431.81
297.98736572265625,1432.155
298.2809753417969,1429.84
298.5745544433594,1418.565
298.8681945800781,1415.7675
299.1617431640625,1406.2625
299.4552917480469,1399.3625
299.7488708496094,1415.335
300.0423583984375,1402.465
300.33587646484375,1401.2425
300.6293640136719,1396.9825
300.92279052734375,1396.8025
301.21624755859375,1385.335
301.5096740722656,1392.87
301.8030700683594,1391.5225
302.0964660644531,1395.03
302.3898620605469,1386.48
302.6831970214844,1400.32
302.9765319824219,1395.4825
303.26983642578125,1403.49
303.5631103515625,1405.615
303.85638427734375,1405.6975
304.1496276855469,1407.0325
304.44287109375,1428.095
304.7360534667969,1432.0525
305.0292663574219,1427.0
305.32244873046875,1448.2225
305.6156005859375,1451.2775
305.9087219238281,1453.3525
306.2018737792969,1461.8075
306.4949645996094,1480.3325
306.78802490234375,1491.535
307.08111572265625,1489.3975
307.3741455078125,1506.4775
307.6671447753906,1518.4725
307.96014404296875,1532.8425
308.2531433105469,1540.24
308.54608154296875,1552.74
308.83905029296875,1558.59
309.1319580078125,1576.1275
309.4248962402344,1586.6275
309.7177734375,1602.41
310.0106201171875,1612.1
310.3034973144531,1620.165
310.5963134765625,1617.6225
310.88909912109375,1646.32
311.1819152832031,1654.95
311.47467041015625,1671.1725
311.7674255371094,1675.2975
312.0601501464844,1685.27
312.3528747558594,1701.1725
312.64556884765625,1700.445
312.938232421875,1708.045
313.2308654785156,1723.9825
313.5235595703125,1732.88
313.816162109375,1738.87
314.1087341308594,1741.9725
314.4013366699219,1752.605
314.6938781738281,1748.6275
314.9864196777344,1775.3725
315.2789306640625,1774.9475
315.5714111328125,1787.1575
315.8639221191406,1784.0525
316.1563720703125,1788.15
316.4488220214844,1803.2425
316.7412414550781,1788.6425
317.0336608886719,1797.0175
317.3260192871094,1799.335
317.618408203125,1801.3
317.9107360839844,1802.88
318.2030334472656,1808.1325
318.495361328125,1804.255
318.78765869140625,1798.1
319.0799255371094,1804.6875
319.3721618652344,1807.49
319.66436767578125,1808.68
319.95660400390625,1803.22
320.248779296875,1791.53
320.54095458984375,1799.32
320.8330993652344,1799.6
321.1252136230469,1801.0225
321.4173278808594,1804.72
321.7094421386719,1802.3975
322.0014953613281,1784.785
322.2935485839844,1786.925
322.5855712890625,1779.2425
322.8775939941406,1774.08
323.1695861816406,1776.58
323.4615783691406,1777.8675
323.7535095214844,1769.6575
324.04547119140625,1765.7025
324.3373718261719,1752.3425
324.6292724609375,1752.1775
324.921142578125,1757.115
325.2130126953125,1726.95
325.50482177734375,1736.115
325.79669189453125,1735.195
326.0884094238281,1729.415
326.3802185058594,1713.7575
326.6720275878906,1707.02
326.9637145996094,1695.015
327.25543212890625,1691.135
327.5471496582031,1674.2675
327.83880615234375,1669.105
328.1304931640625,1655.2375
328.422119140625,1651.1475
328.7137451171875,1641.805
329.00537109375,1624.19
329.2969055175781,1615.685
329.5884704589844,1609.905
329.8800354003906,1597.885
330.1715393066406,1587.7675
330.4630432128906,1570.1825
330.7545166015625,1567.285
331.0459899902344,1555.61
331.3374328613281,1544.4125
331.62884521484375,1535.8125
331.9202575683594,1514.1425
332.2116394042969,1506.975
332.50299072265625,1489.96
332.7943420410156,1486.6875
333.085693359375,1473.515
333.3769226074219,1474.615
333.66827392578125,1465.9075
333.95953369140625,1442.4175
334.250732421875,1446.54
334.5419921875,1443.9775
334.83319091796875,1435.4
335.1243591308594,1420.4
335.4155578613281,1416.5225
335.7066955566406,1408.9025
335.997802734375,1411.57
336.2889404296875,1400.215
336.58001708984375,1394.2675
336.8710632324219,1388.0325
337.1621398925781,1383.19
337.453125,1374.2125
337.744140625,1384.61
338.03515625,1376.9575
338.32611083984375,1364.8525
338.6170349121094,1372.5275
338.9079895019531,1373.6275
339.1988525390625,1360.965
339.48980712890625,1370.15
339.7806396484375,1361.02
340.07147216796875,1364.655
340.3623352050781,1371.1675
340.65313720703125,1352.215
340.94390869140625,1374.54
341.2347106933594,1379.6325
341.5254211425781,1374.645
341.816162109375,1375.53
342.10687255859375,1371.6175
342.39752197265625,1374.25
342.688232421875,1375.4925
342.9788513183594,1392.65
343.26947021484375,1389.4625
343.5600891113281,1385.6
343.8506774902344,1396.31
344.1412353515625,1392.5675
344.43182373046875,1405.4825
344.7222900390625,1406.685
345.0128479003906,1410.4825
345.3033447265625,1421.025
345.59375,1422.1525
345.88421630859375,1425.1125
346.1746520996094,1434.1325
346.4650573730469,1447.61
346.7554626464844,1448.4675
347.04583740234375,1447.67
347.336181640625,1452.005
347.62652587890625,1470.62
347.91680908203125,1471.285
348.20709228515625,1485.825
348.49737548828125,1487.775
348.78759765625,1491.54
349.07781982421875,1489.6275
349.3680419921875,1487.3625
349.658203125,1498.9925
349.9483947753906,1504.4775
350.238525390625,1511.31
350.52862548828125,1518.025
350.81878662109375,1522.3325
351.1088562011719,1527.305
351.3988952636719,1530.74
351.68896484375,1530.2025
351.9789733886719,1541.2275
352.26898193359375,1546.62
352.5589904785156,1557.4575
352.8489074707031,1560.1075
353.13885498046875,1557.595
353.4288024902344,1568.7825
353.71868896484375,1559.87
354.0085754394531,1564.7975
354.2984313964844,1568.795
354.5882873535156,1571.49
354.87811279296875,1572.23
355.1679382324219,1584.63
355.4576721191406,1581.8275
355.7474670410156,1582.4275
356.03717041015625,1582.1675
356.326904296875,1585.825
356.61663818359375,1588.6925
356.9062805175781,1585.4425
357.19598388671875,1585.095
357.485595703125,1584.97
357.77520751953125,1584.635
358.0648193359375,1591.28
358.3544006347656,1583.2925
358.6439514160156,1574.805
358.9335021972656,1577.045
359.2230224609375,1582.42
359.51251220703125,1588.16
359.802001953125,1582.27
360.0914306640625,1576.0225
360.380859375,1572.6125
360.6702880859375,1576.2275
360.95965576171875,1581.29
361.24908447265625,1574.2275
361.5384216308594,1576.375
361.8277282714844,1571.7375
362.1170654296875,1568.2225
362.4063415527344,1568.8125
362.69561767578125,1575.9575
362.9848937988281,1560.67
363.2740783691406,1551.555
363.5633239746094,1561.29
363.8525390625,1554.0525
364.14166259765625,1553.4875
364.43084716796875,1543.31
364.719970703125,1546.4775
365.0090637207031,1546.63
365.29815673828125,1537.245
365.58721923828125,1526.5125
365.87628173828125,1539.64
366.1653137207031,1535.535
366.4543151855469,1550.2025
366.7432861328125,1565.1425
367.0322570800781,1557.4125
367.3211669921875,1543.3475
367.6101379394531,1562.08
367.8990478515625,1551.3575
368.1878967285156,1518.9225
368.476806640625,1520.625
368.765625,1514.2375
369.054443359375,1510.03
369.34326171875,1495.6875
369.63201904296875,1493.8825
369.9207763671875,1484.8275
370.20953369140625,1452.9575
370.49822998046875,1444.4325
370.78692626953125,1437.77
371.0756530761719,1432.245
371.3642578125,1433.0225
371.6529235839844,1410.43
371.9415283203125,1424.715
372.2301025390625,1411.09
372.5187072753906,1397.56
372.8072509765625,1401.47
373.0957946777344,1386.1975
373.3843078613281,1389.2275
373.67279052734375,1377.19
373.96124267578125,1379.5475
374.2497253417969,1388.53
374.5381164550781,1384.675
374.8265380859375,1381.16
375.11492919921875,1385.505
375.4032897949219,1401.8025
375.691650390625,1395.6525
375.9799499511719,1399.005
376.2682800292969,1378.4175
376.5565490722656,1363.335
376.8448181152344,1364.61
377.133056640625,1366.7775
377.42132568359375,1369.5575
377.7095031738281,1392.78
377.9976501464844,1394.735
378.2858581542969,1403.69
378.573974609375,1400.2825
378.8620910644531,1399.695
379.1501770019531,1415.81
379.438232421875,1462.6775
379.7263488769531,1452.5175
380.01434326171875,1393.005
380.3023681640625,1374.38
380.59039306640625,1385.9725
380.87835693359375,1391.105
381.1662902832031,1395.6125
381.4542236328125,1364.36
381.7420959472656,1344.9025
382.030029296875,1356.9925
382.3179016113281,1379.33
382.605712890625,1414.085
382.8935852050781,1429.7725
383.1813659667969,1406.725
383.4691162109375,1380.81
383.7569274902344,1369.4575
384.044677734375,1377.095
384.3323669433594,1388.9575
384.6201171875,1392.5525
384.90777587890625,1400.7925
385.1954040527344,1412.32
385.48309326171875,1393.02
385.7706604003906,1390.295
386.05828857421875,1400.0975
386.3458251953125,1415.38
386.6333923339844,1418.4875
386.92095947265625,1423.855
387.20843505859375,1449.705
387.4959411621094,1478.8625
387.7834167480469,1512.6525
388.07086181640625,1520.9725
388.3582763671875,1525.58
388.6457214355469,1552.685
388.93304443359375,1567.1475
389.2204284667969,1537.605
389.5078430175781,1478.61
389.7950744628906,1456.63
390.0824279785156,1466.665
390.36968994140625,1480.47
390.6569519042969,1497.8675
390.9442138671875,1518.655
391.2314147949219,1532.4075
391.5185852050781,1536.8275
391.8057861328125,1557.4675
392.09295654296875,1594.2175
392.3800964355469,1641.3825
392.667236328125,1677.775
392.9542541503906,1738.2325
393.2413635253906,1802.8725
393.5284423828125,1770.205
393.8154296875,1686.59
394.1024475097656,1664.6725
394.3894348144531,1683.3975
394.6763916015625,1712.6675
394.9633483886719,1749.1375
395.2502746582031,1718.165
395.53717041015625,1693.625
395.8240661621094,1689.77
396.1109313964844,1702.4375
396.39776611328125,1717.165
396.6845703125,1740.425
396.9713439941406,1777.1525
397.25811767578125,1784.455
397.54486083984375,1818.8275
397.8316345214844,1890.785
398.11834716796875,1919.9875
398.4049987792969,1958.035
398.6916809082031,2051.88
398.97833251953125,2049.6125
399.2649841308594,1958.485
399.55157470703125,1944.115
399.8381652832031,1938.12
400.12469482421875,1930.5525
400.4112548828125,1905.17
400.69781494140625,1886.3775
400.9842529296875,1910.7025
401.2707824707031,1948.28
401.5572204589844,1943.3275
401.8436279296875,1904.0625
402.13006591796875,1916.2175
402.4164733886719,1950.7625
402.70281982421875,1946.27
402.98919677734375,1951.17
403.2755126953125,1970.07
403.5617980957031,1973.87
403.84808349609375,2002.2725
404.13433837890625,2018.7175
404.42059326171875,2037.0575
404.7068176269531,2074.0725
404.9930114746094,2121.105
405.2792053222656,2148.31
405.56536865234375,2209.6
405.85150146484375,2227.855
406.13763427734375,2191.9525
406.4236755371094,2146.4075
406.70977783203125,2089.265
406.995849609375,2067.1775
407.2818298339844,2043.34
407.56787109375,2042.685
407.8538513183594,2043.975
408.1398010253906,2070.51
408.42578125,2097.3375
408.711669921875,2154.6
408.99755859375,2176.3725
409.2834777832031,2139.8575
409.5693054199219,2142.2625
409.8551330566406,2150.455
410.1409912109375,2180.9575
410.4267578125,2168.4875
410.7125244140625,2122.5425
410.998291015625,2124.75
411.28399658203125,2146.6825
411.5697326660156,2168.4625
411.8554382324219,2158.0675
412.1410217285156,2176.08
412.42669677734375,2226.1225
412.7123107910156,2306.9225
412.9979248046875,2320.26
413.28350830078125,2315.34
413.5690612792969,2343.2825
413.8545837402344,2334.495
414.1401062011719,2258.0625
414.42559814453125,2220.915
414.7110595703125,2216.6175
414.9965515136719,2222.57
415.28192138671875,2232.1925
415.5673522949219,2232.635
415.85272216796875,2218.2775
416.1380920410156,2203.3725
416.4234313964844,2216.59
416.7087707519531,2230.44
416.9940490722656,2207.2725
417.2793273925781,2182.3975
417.5645751953125,2198.215
417.84979248046875,2212.12
418.1350402832031,2160.2325
418.420166015625,2162.5275
418.70538330078125,2155.685
418.99053955078125,2136.61
419.275634765625,2134.01
419.56072998046875,2164.0825
419.8458251953125,2139.0
420.130859375,2132.87
420.41595458984375,2132.6325
420.7009582519531,2211.3325
420.9859313964844,2243.1525
421.27093505859375,2282.4775
421.55584716796875,2404.2475
421.8407897949219,2487.4225
422.1257019042969,2488.1275
422.4105529785156,2452.625
422.6954345703125,2422.96
422.98028564453125,2394.8975
423.2651062011719,2399.805
423.5498962402344,2463.7775
423.8346862792969,2458.91
424.1194152832031,2341.9775
424.4041748046875,2283.185
424.6888732910156,2274.9575
424.97357177734375,2287.365
425.25823974609375,2315.4675
425.5428771972656,2273.6075
425.8275146484375,2245.7925
426.11212158203125,2191.02
426.39666748046875,2146.83
426.6812438964844,2181.895
426.96575927734375,2171.9175
427.2502746582031,2192.5975
427.5347900390625,2301.795
427.8192443847656,2426.56
428.10369873046875,2255.99
428.3881530761719,2161.74
428.6725158691406,2216.0925
428.9569091796875,2205.8175
429.24127197265625,2192.555
429.52557373046875,2247.505
429.8099365234375,2340.4675
430.09423828125,2395.9925
430.37847900390625,2363.2625
430.6627502441406,2367.3725
430.94696044921875,2364.9025
431.2311706542969,2319.3975
431.5153503417969,2247.5075
431.7995300292969,2196.905
432.08367919921875,2136.6375
432.3677978515625,2114.4075
432.65191650390625,2132.2725
432.93597412109375,2119.8225
433.22003173828125,2104.1125
433.5040588378906,2112.7575
433.7880554199219,2282.32
434.0720520019531,2367.3625
434.3559875488281,2234.7275
434.63995361328125,2149.23
434.92388916015625,2149.3975
435.207763671875,2191.6175
435.4916687011719,2207.42
435.7755126953125,2200.7475
436.059326171875,2158.165
436.3431701660156,2180.2625
436.6269226074219,2276.2475
436.91070556640625,2265.29
437.1944885253906,2194.965
437.4781494140625,2187.255
437.7618713378906,2187.985
438.0455627441406,2202.3275
438.3291931152344,2226.79
438.61285400390625,2261.985
438.8964538574219,2267.7925
439.1800231933594,2255.075
439.4636535644531,2236.515
439.7471923828125,2236.65
440.0306701660156,2233.9225
440.314208984375,2223.335
440.59765625,2219.22
440.8811340332031,2255.225
441.16455078125,2384.7
441.44793701171875,2513.71
441.7313537597656,2535.375
442.0147399902344,2439.265
442.298095703125,2417.8275
442.5814208984375,2389.7825
442.8647155761719,2348.61
443.1479797363281,2381.625
443.4312744140625,2428.9675
443.7144775390625,2452.2925
443.9976806640625,2431.985
444.2808837890625,2375.3425
444.56402587890625,2384.85
444.8471984863281,2395.075
445.13031005859375,2371.035
445.4134216308594,2408.15
445.6965026855469,2377.19
445.97955322265625,2348.5975
446.2625732421875,2400.3625
446.5456237792969,2456.555
446.82861328125,2436.505
447.111572265625,2371.9575
447.39453125,2393.955
447.6773986816406,2388.335
447.9603271484375,2402.33
448.2432556152344,2397.89
448.52606201171875,2376.1925
448.80889892578125,2414.2275
449.09173583984375,2429.795
449.37451171875,2434.2725
449.65728759765625,2429.83
449.9399719238281,2439.6575
450.2227478027344,2448.64
450.5054626464844,2434.475
450.7880859375,2447.4125
451.0707702636719,2434.555
451.3534240722656,2412.5575
451.6360168457031,2406.62
451.9186096191406,2484.345
452.2012023925781,2485.6025
452.48370361328125,2448.6275
452.7662353515625,2466.73
453.04876708984375,2486.4525
453.3312072753906,2445.185
453.6136779785156,2446.525
453.8960876464844,2489.18
454.1784973144531,2486.9875
454.4609069824219,2453.37
454.74322509765625,2473.4925
455.0256042480469,2545.9375
455.30792236328125,2599.49
455.5901794433594,2605.19
455.8724670410156,2573.1225
456.1547546386719,2557.0075
456.43695068359375,2574.8975
456.71917724609375,2598.755
457.0013122558594,2637.875
457.28350830078125,2649.525
457.565673828125,2698.2925
457.8477478027344,2747.2275
458.1298522949219,2764.525
458.41192626953125,2782.81
458.6939697265625,2801.3025
458.9759826660156,2776.135
459.2580261230469,2803.54
459.53997802734375,2808.2075
459.82196044921875,2847.715
460.1039123535156,2815.6125
460.3857727050781,2756.0125
460.6676940917969,2790.395
460.94952392578125,2806.9075
461.23138427734375,2824.88
461.5132141113281,2876.335
461.79498291015625,2819.2975
462.0767822265625,2734.88
462.35858154296875,2725.3375
462.6402587890625,2846.3225
462.9219970703125,2872.9925
463.2037048339844,2855.1025
463.4853210449219,2979.9525
463.7669677734375,3040.3025
464.048583984375,3023.6675
464.3301696777344,3137.545
464.61175537109375,3122.4875
464.8932800292969,3172.99
465.1748352050781,3280.8
465.4563903808594,3173.0
465.73779296875,3218.12
466.019287109375,3346.435
466.3007507324219,3283.9325
466.5821228027344,3120.905
466.8635559082031,3145.04
467.1449279785156,3163.75
467.42620849609375,3196.5825
467.7075500488281,3180.02
467.98883056640625,3233.655
468.2701416015625,3341.98
468.5513916015625,3308.5675
468.8326110839844,3276.49
469.11383056640625,3249.0725
469.3950500488281,3234.295
469.6761474609375,3256.595
469.95733642578125,3229.185
470.23846435546875,3268.985
470.51953125,3294.8725
470.8006286621094,3327.92
471.0816955566406,3347.0425
471.3626708984375,3370.34
471.6437072753906,3395.4225
471.9246520996094,3423.54
472.20562744140625,3474.545
472.486572265625,3508.1025
472.7674560546875,3551.04
473.04833984375,3680.77
473.3292541503906,3743.4175
473.61004638671875,3728.9925
473.8908996582031,3708.86
474.1717224121094,3708.755
474.45245361328125,3745.0175
474.73321533203125,3730.0275
475.013916015625,3810.66
475.2946472167969,3925.7075
475.5753479003906,3976.9525
475.85595703125,3923.29
476.1366271972656,3900.1975
476.417236328125,3944.425
476.69781494140625,4022.9925
476.9784240722656,3971.545
477.25897216796875,3940.2525
477.5394592285156,3978.5075
477.8199768066406,4029.6475
478.1004638671875,4164.0125
478.380859375,4182.755
478.6613464355469,4109.875
478.94171142578125,4085.265
479.22210693359375,4123.67
479.50250244140625,4204.085
479.78277587890625,4197.3525
480.0631408691406,4259.575
480.34344482421875,4371.9525
480.6236572265625,4355.29
480.9039306640625,4309.8275
481.1841735839844,4274.37
481.46435546875,4363.13
481.7445373535156,4393.765
482.024658203125,4391.475
482.3047790527344,4413.745
482.5849304199219,4393.6275
482.8649597167969,4365.9475
483.14508056640625,4376.4625
483.42510986328125,4451.7375
483.705078125,4526.755
483.985107421875,4480.7225
484.2651062011719,4513.35
484.54498291015625,4659.4325
484.824951171875,4705.1025
485.1048583984375,4695.9875
485.38470458984375,4609.155
485.6645812988281,5317.725
485.9443664550781,8516.0075
486.2242126464844,8373.755
486.5039978027344,5302.0075
486.7837219238281,4589.2225
487.0634765625,4674.8825
487.34320068359375,4816.7425
487.62286376953125,4723.135
487.9025573730469,4628.3275
488.1822204589844,4581.89
488.4617919921875,4456.175
488.74139404296875,4542.1525
489.02099609375,4573.5575
489.300537109375,4615.3675
489.580078125,4587.535
489.8595275878906,4618.6775
490.1390380859375,4628.71
490.41851806640625,4583.2575
490.69793701171875,4512.9225
490.97735595703125,4529.165
491.2567443847656,4617.2825
491.53607177734375,4515.9275
491.8154602050781,4427.9525
492.0947570800781,4500.185
492.3740539550781,4528.965
492.6533508300781,4532.5225
492.93255615234375,4539.87
493.2117614746094,4539.7125
493.49102783203125,4549.7
493.7701416015625,4566.1225
494.04931640625,4517.425
494.3284912109375,4487.3275
494.6075134277344,4549.44
494.88665771484375,4501.895
495.1657409667969,4408.4425
495.4447326660156,4416.9025
495.7237548828125,4392.1825
496.0027770996094,4480.165
496.2817077636719,4658.6225
496.5606689453125,4662.0325
496.8395690917969,4624.665
497.11846923828125,4489.855
497.3973693847656,4451.995
497.6761779785156,4453.525
497.95501708984375,4439.8725
498.2338562011719,4492.7475
498.5126037597656,4579.9425
498.7913513183594,4599.6
499.07012939453125,4648.47
499.3487854003906,4593.5675
499.62750244140625,4593.1625
499.9060974121094,4629.2075
500.1847839355469,4570.7925
500.4634094238281,4540.6575
500.7419738769531,4549.0575
501.0205383300781,4594.665
501.29913330078125,4722.465
501.5776062011719,4792.0825
501.8561096191406,4664.4125
502.1346130371094,4634.2475
502.4130554199219,4762.715
502.6914978027344,4735.12
502.96990966796875,4691.005
503.2482604980469,4753.3075
503.5266418457031,4800.4325
503.8049011230469,4804.275
504.0832214355469,4689.2525
504.3615417480469,4694.6475
